name,few_native,few_self_con,few_cot,few_cot_self_con,zero_native,zero_self_con,zero_cot,zero_cot_self_con
GPT4,82.39,82.39,90.14,90.14,85.21,85.21,86.62,86.62
Yi-34B-Chat,86.62,86.62,76.06,85.21,78.87,80.28,85.92,86.62
DevOps-Model-14B-Chat,80.99,78.87,51.41,63.38,33.80,34.51,54.23,56.34
LLaMA-2-7B,45.07,45.07,61.97,61.97,30.28,30.28,45.77,45.77
Qwen-72B-Chat,83.80,83.80,83.80,83.80,86.62,86.62,83.80,83.80
GPT-3.5-turbo,71.13,73.24,80.28,78.87,77.46,76.06,82.39,81.69
ERNIE-Bot-4.0,83.00,83.00,85.00,85.00,81.00,81.00,82.00,82.00
Mistral-7B,16.90,16.90,64.08,64.08,2.82,2.82,64.79,64.79
LLaMA-2-13B,61.97,61.97,61.27,61.27,45.77,45.77,70.42,70.42
Baichuan2-13B-Chat,62.68,64.08,68.31,66.20,64.79,66.20,68.31,73.24
Qwen-14B-Chat,76.06,74.65,69.01,71.83,73.94,73.94,73.24,76.76
LLaMA-2-70B-Chat,41.55,40.85,72.54,72.54,14.79,14.79,67.61,67.61
ChatGLM3-6B,51.4084507,51.4084507,57.04225352,57.04225352,55.63380282,55.63380282,61.97183099,61.97183099
InternLM2-Chat-20B,78.16901408,78.16901408,,,74.64788732,74.64788732,74.64788732,74.64788732
InternLM2-Chat-7B,74.64788732,74.64788732,57.04225352,57.04225352,76.05633803,76.05633803,73.94366197,73.94366197
gemma_2b,27.46479,27.46479,41.5493,41.5493 ,28.16901,28.16901,38.02817,38.02817 
gemma_7b,50.70423,50.70423,66.90141,66.90141 ,35.91549,35.91549,59.15493,59.15493 
qwen1.5-14b-base,81.69014,81.69014,57.04225,57.04225 ,73.23944,73.23944,76.05634,76.05634 
qwen1.5-14b-chat,83.80282,80.98592,78.87324,80.98592,75.35211,76.05634,80.28169,83.09859

