name,few_native,few_self_con,few_cot,few_cot_self_con,zero_native,zero_self_con,zero_cot,zero_cot_self_con
GPT4,77.5,77.5,82.5,82.5,77.5,77.5,82.5,82.5
Yi-34B-Chat,62.5,57.5,52.5,52.5,75,75,87.5,82.5
DevOps-Model-14B-Chat,67.5,70,62.5,70,60,67.5,65,57.5
LLaMA-2-7B,60,60,55,55,32.5,32.5,45,45
Qwen-72B-Chat,75,75,75,75,72.5,72.5,75,75
GPT-3.5-turbo,57.5,57.5,62.5,62.5,60,62.5,65,70
ERNIE-Bot-4.0,75,75,82.5,82.5,75,75,77.5,77.5
Mistral-7B,35,35,60,60,47.5,47.5,62.5,62.5
LLaMA-2-13B,60,60,55,55,45,45,62.5,62.5
ChatGLM3-6B,55,55,60,60,60,60,60,60
Baichuan2-13B-Chat,62.5,60,70,67.5,65,60,72.5,67.5
Qwen-14B-Chat,70,65,65,67.5,70,67.5,70,67.5
LLaMA-2-70B-Chat,20,20,57.5,57.5,22.5,22.5,75,75
Claude-3-Opus,,,,,80,80,,
