name,few_native,few_self_con,few_cot,few_cot_self_con,zero_native,zero_self_con,zero_cot,zero_cot_self_con
GPT4,65.28,65.28,68.19,68.19,65.56,65.56,68.05,68.05
Yi-34B-Chat,60.17,60.03,57.68,57.54,64.45,64.59,67.77,67.36
DevOps-Model-14B-Chat,65.28,64.18,55.19,61.83,53.67,56.85,54.5,59.2
LLaMA-2-7B,46.2,46.2,53.39,53.39,34.85,34.85,44.95,44.95
Qwen-72B-Chat,65.98,65.98,70.12,70.12,66.67,66.67,65.28,65.28
GPT-3.5-turbo,65.28,66.25,68.05,68.74,65.28,65.42,66.39,67.5
ERNIE-Bot-4.0,73,73,77,77,76,76,79,79
Mistral-7B,29.88,29.88,59.75,59.75,18.53,18.53,60.3,60.3
LLaMA-2-13B,57.12,57.12,53.39,53.39,51.18,51.18,59.06,59.06
Baichuan2-13B-Chat,59.06,59.34,64.45,64.32,60.17,60.17,62.79,67.5
Qwen-14B-Chat,65.28,63.49,62.93,65.98,61.96,61.55,61.55,64.45
LLaMA-2-70B-Chat,48.82,48.82,59.75,59.75,5.26,5.26,62.52,62.52
ChatGLM3-6B,55.32503458,55.32503458,59.33609959,59.33609959,54.21853389,54.21853389,62.10235131,62.10235131
InternLM2-Chat-20B,,,,,63.90041494,63.90041494,64.03872752,64.03872752
InternLM2-Chat-7B,65.00691563,65.00691563,54.21853389,54.21853389,61.2724758,61.2724758,63.62378976,63.62378976
gemma_2b,33.60996,33.60996,37.75934,37.75934,36.37621,36.37621,45.22822,45.22822
gemma_7b,42.04703,42.04703,56.70816,56.70816,39.41909,39.41909,54.77178,54.77178
qwen1.5-14b-base,65.42185,65.42185,50.89903,50.89903,51.17566,51.17566,62.6556,62.6556
qwen1.5-14b-chat,63.34716,63.7621,65.42185,65.9751,62.93223,64.03873,64.59198,64.31535
Claude-3-Opus,,,,,76.76,76.76,,
